age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
85,1931, natural causes,January,2006,American businessman chairman of IBM (1973–1981),Frank Cary,American
49,1967, murdered,January,2006,American musician (House of Freaks Gutterball),Bryan Harvey,American
64,1952, Alzheimer's disease,January,2006,American baseball player (Oakland Athletics),Paul Lindblad,American
86,1930, Alzheimer's disease,January,2006,American politician Representative from Oregon (1957–1961),Charles O. Porter,American
82,1934, cancer,January,2006,Cuban nightclub owner (Tropicana Club),Ofelia Fox,Cuban
52,1964, stroke,January,2006,Papua New Guinean politician Prime Minister (1997–1999),Sir William Skate,Papua
31,1985, probably pulmonary embolism,January,2006,Hungarian footballer (soccer player),Gábor Zavadszky,Hungarian
31,1985, from injuries sustained in a biking accident,January,2006,Argentine football (soccer) player,José Luis Sánchez,Argentine
55,1961,,January,2006,Canadian inventor (KISS rebreather),Gordon Smith,Canadian
70,1946, lung cancer,January,2006,American actor (The Guiding Light),Don Stewart,American
39,1977, heart attack,January,2006,German DJ prominent figure in trance music and member of (Jam & Spoon),Mark Spoon,German
80,1936,,January,2006,American stage (Suddenly Last Summer) and television actress (Another World),Anne Meacham,American
83,1933,,January,2006,Canadian broadcaster and politician,Gordon Atkinson,Canadian
85,1931, heart failure,January,2006,American actress (Lolita The Poseidon Adventure),Shelley Winters,American
90,1926, doctor to Josip Broz Tito,January,2006,Croatian physician,Stjepan Steiner,Croatian
90,1926,,January,2006, Financial Secretary of Hong Kong (1961–1971),John James Cowperthwaite,British
65,1951,,January,2006,Turkih academic and politician (chairman of SHP)[citation needed],Aydın Güven Gürkan,Turkih
94,1922,,January,2006,former Republican United States Representative from Nebraska (1975–1991),Virginia Smith,former
92,1924,,January,2006,"British humorist (""Peter Simple"")",Michael Wharton,British
41,1975, complications from a long illness,January,2006,former MLB player,Carlos (Café) Martínez,former
75,1941,,January,2006,President of Germany (Bundespräsident) from 1999 - 2004,Johannes Rau,President
76,1940,,January,2006, Deputy Chief Minister of Gibraltar (1956–1984),Peter Isola,Gibraltarian
53,1963,,January,2006, founder of the Broadcast Film Critics Association (BFCA),Paul Clinton,CNN
38,1978, complications from drug abuse,January,2006,American punk rock singer (Rich Kids on LSD),Jason Sears,American
78,1938, U,February,2006,American politician,Ronald B. Cameron,American
78,1938,,February,2006,former British Conservative Member of Parliament,John Woollam,former
82,1934, and radio host,February,2006,American actor (Grandpa Munster on The Munsters) Green Party political candidate restaurateur,Al Lewis,American
79,1937,,February,2006, amyotrophic lateral sclerosis (Lou Gehrig's Disease),Joe McGuff,American
96,1920,,February,2006,American judge on the U,Max Rosenn,American
76,1940, murdered,February,2006,American TV writer director (Curious George animated films),Alan Shalleck,American
59,1957,,February,2006,French computer scientist,Gilles Kahn,French
80,1936, Alzheimer's disease,February,2006,Bavarian-born American football player (Pittsburgh Steelers) and member of the Pro Football Hall of Fame,Ernie Stautner,Bavarian-born
68,1948,,February,2006, Prime Minister of Serbia (1994–2000),Mirko Marjanovic,Serbian
81,1935, complications from aspiration pneumonia and lung cancer,February,2006,American actor (The Andy Griffith Show Three's Company),Don Knotts,American
80,1936, poor health,February,2006,Gordon Wu Professor of Chinese Studies Princeton University (1980–1994) creator of the 15 volume The Cambridge History of China,Denis Twitchett,Gordon
81,1935, complications from cancer,February,2006,American actor (Gunsmoke McCloud),Dennis Weaver,American
83,1933, natural causes,February,2006,American actor (Kolchak: The Night Stalker A Christmas Story),Darren McGavin,American
89,1927,,March,2006,former Democratic lieutenant governor of New Mexico (1963 — 1966),Mack Easley,former
83,1933, prostate cancer,March,2006,former Democratic United States Representative from Michigan (1973–1977),Richard Vander Veen,former
89,1927,,March,2006, Bishop of La Crosse (1983–1994),John Joseph Paul,American
45,1971, stroke complications,March,2006,American baseball player (Minnesota Twins) and member of the MLB Hall of Fame,Kirby Puckett,American
97,1919,,March,2006,(also: Wèi Lùshī 魏璐诗) Austrian-Chinese journalist and member of the Chinese People's Political Consultative Conference,Ruth Weiss,(also:
79,1937,,March,2006,American college football coach (Oklahoma State University),Floyd Gass,American
88,1928,,March,2006,former Democratic United States Representative from California (1956–1978),John Joseph McFall,former
93,1923, cancer,March,2006,photographer film director (Shaft),Gordon Parks,photographer
81,1935,,March,2006,American actor (Once Upon a Mattress) [70],Joseph Bova,American
67,1949,,March,2006,American novelist and founding editor of TriQuarterly,Charles Newman (author),American
80,1936, chronic obstructive pulmonary disease,March,2006,American actress (Plaza Suite Cocoon),Maureen Stapleton,American
63,1953, plane crash,March,2006,American game show host (Press Your Luck),Peter Tomarken,American
87,1929, heart failure,March,2006,former Prime Minister of Greece (1980–1981),Georgios Rallis,former
86,1930, cancer,March,2006,Speaker of Pennsylvania House of Representatives (first African-American Speaker in any U.S. state government),K. Leroy Irvis,Speaker
